filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes
images/Set1/2520_1 (2).jpg,-1,"{}",1,0,"{""name"":""rect"",""x"":7,""y"":8,""width"":111,""height"":105}","{""Age"":""45-55"",""Weight"":""slightly-overweight"",""Gender"":""female"",""Economy-Class"":""middle class"",""Education"":""Educated"",""CarryingBag"":""Grocery/Home/Plastic Bag"",""Accessories"":{""OtherJewellery"":true},""Footwear"":""CantSee"",""Demeanour"":""Average"",""ClothingStyle"":""Average"",""ImageQuality"":""Average"",""Emotion"":""Neutral"",""ClothingStyle2"":""Daily"",""BodyPose"":""Back""}"
images/Set1/1410_0 (8).jpg,-1,"{}",1,0,"{""name"":""rect"",""x"":45,""y"":9,""width"":190,""height"":146}","{""Age"":""55+"",""Weight"":""normal-healthy"",""Gender"":""male"",""Economy-Class"":""upper class"",""Education"":""Highly Educated"",""CarryingBag"":""None"",""Accessories"":{""Sunglasses"":true,""Watch"":true},""Footwear"":""CantSee"",""Demeanour"":""Classy-Groomed"",""ClothingStyle"":""Classy-Fashionable"",""ImageQuality"":""Average"",""Emotion"":""Neutral"",""ClothingStyle2"":""Formal/Business"",""BodyPose"":""Front-Frontish""}"
images/Set1/50640_3.jpg,-1,"{}",1,0,"{""name"":""rect"",""x"":37,""y"":42,""width"":468,""height"":318}","{""Age"":""55+"",""Weight"":""slightly-overweight"",""Gender"":""female"",""Economy-Class"":""middle class"",""Education"":""Educated"",""CarryingBag"":""Shopping "",""Accessories"":{""OtherJewellery"":true},""Footwear"":""CantSee"",""Demeanour"":""Average"",""ClothingStyle"":""Average"",""ImageQuality"":""Good"",""Emotion"":""Neutral"",""ClothingStyle2"":""Daily"",""BodyPose"":""Side""}"
images/Set1/IMG (2623).jpg,-1,"{}",1,0,"{""name"":""rect"",""x"":55,""y"":3,""width"":72,""height"":88}","{""Age"":""55+"",""Weight"":""normal-healthy"",""Gender"":""male"",""Economy-Class"":""lower middle class"",""Education"":""Educated"",""CarryingBag"":""Grocery/Home/Plastic Bag"",""Accessories"":{""Nothing"":true},""Footwear"":""Normal"",""Demeanour"":""Average"",""ClothingStyle"":""Average"",""ImageQuality"":""Average"",""Emotion"":""Neutral"",""ClothingStyle2"":""Daily"",""BodyPose"":""Back""}"
images/Set1/14100_2.jpg,-1,"{}",1,0,"{""name"":""rect"",""x"":45,""y"":6,""width"":192,""height"":182}","{""Age"":""45-55"",""Weight"":""over-weight"",""Gender"":""male"",""Economy-Class"":""middle class"",""Education"":""Uneducation"",""CarryingBag"":""None"",""Accessories"":{""Nothing"":true},""Footwear"":""Normal"",""Demeanour"":""Average"",""ClothingStyle"":""Average"",""ImageQuality"":""Average"",""Emotion"":""Angry/Serious"",""ClothingStyle2"":""Daily"",""BodyPose"":""Front-Frontish""}"
images/Set1/1290_4 (2).jpg,-1,"{}",1,0,"{""name"":""rect"",""x"":43,""y"":9,""width"":85,""height"":61}","{""Age"":""35-45"",""Weight"":""normal-healthy"",""Gender"":""female"",""Economy-Class"":""middle class"",""Education"":""Educated"",""CarryingBag"":""None"",""Accessories"":{""OtherJewellery"":true,""Watch"":true},""Footwear"":""CantSee"",""Demeanour"":""Classy-Groomed"",""ClothingStyle"":""Classy-Fashionable"",""ImageQuality"":""Good"",""Emotion"":""Happy"",""ClothingStyle2"":""Daily"",""BodyPose"":""Front-Frontish""}"
images/Set1/IMG (680).jpg,-1,"{}",1,0,"{""name"":""rect"",""x"":27,""y"":24,""width"":64,""height"":57}","{""Age"":""55+"",""Weight"":""over-weight"",""Gender"":""male"",""Economy-Class"":""upper class"",""Education"":""Educated"",""CarryingBag"":""None"",""Accessories"":{""Watch"":true},""Footwear"":""CantSee"",""Demeanour"":""Classy-Groomed"",""ClothingStyle"":""Average"",""ImageQuality"":""Bad"",""Emotion"":""Neutral"",""ClothingStyle2"":""Formal/Business"",""BodyPose"":""Side""}"
images/Set1/7950_1.jpg,-1,"{}",1,0,"{""name"":""rect"",""x"":69,""y"":6,""width"":161,""height"":144}","{""Age"":""35-45"",""Weight"":""over-weight"",""Gender"":""female"",""Economy-Class"":""upper class"",""Education"":""Educated"",""CarryingBag"":""Daily/Office/Work Bag"",""Accessories"":{""OtherJewellery"":true},""Footwear"":""Normal"",""Demeanour"":""Average"",""ClothingStyle"":""Classy-Fashionable"",""ImageQuality"":""Average"",""Emotion"":""Happy"",""ClothingStyle2"":""Daily"",""BodyPose"":""Side""}"
images/Set1/IMG (4120).jpg,-1,"{}",1,0,"{""name"":""rect"",""x"":30,""y"":9,""width"":59,""height"":56}","{""Age"":""55+"",""Weight"":""slightly-overweight"",""Gender"":""male"",""Economy-Class"":""middle class"",""Education"":""Educated"",""CarryingBag"":""Daily/Office/Work Bag"",""Accessories"":{""Sunglasses"":true},""Footwear"":""CantSee"",""Demeanour"":""Average"",""ClothingStyle"":""Average"",""ImageQuality"":""Average"",""Emotion"":""Neutral"",""ClothingStyle2"":""Daily"",""BodyPose"":""Back""}"
images/Set1/9990_0 (5).jpg,-1,"{}",1,0,"{""name"":""rect"",""x"":138,""y"":11,""width"":151,""height"":129}","{""Age"":""45-55"",""Weight"":""normal-healthy"",""Gender"":""male"",""Economy-Class"":""middle class"",""Education"":""Educated"",""CarryingBag"":""Grocery/Home/Plastic Bag"",""Accessories"":{""Cap"":true},""Footwear"":""Normal"",""Demeanour"":""Average"",""ClothingStyle"":""Classy-Fashionable"",""ImageQuality"":""Average"",""Emotion"":""Neutral"",""ClothingStyle2"":""Daily"",""BodyPose"":""Back""}"
